City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
369,Sigli,ID,82.09,5.38,95.96,light rain,Hotel Riza
371,Basco,PH,85.93,20.45,121.97,overcast clouds,Nathaniel's Lodge
372,Adwa,ET,76.84,14.16,38.9,light rain,Maay Assa Hotel
373,Kichera,RU,70.41,55.94,110.1,broken clouds,
374,Tambun,ID,86.0,-6.26,107.07,haze,@HOM Premiere Tambun
375,Grand-Bourg,GP,80.6,15.88,-61.31,broken clouds,Coco Beach Resort
377,Pemba,MZ,78.08,-12.97,40.52,broken clouds,Guesthouse Samotina
379,Naze,JP,84.2,28.37,129.48,scattered clouds,奄美ポートタワーホテル
380,Lorengau,PG,82.65,-2.02,147.27,overcast clouds,Lorengau Harbourside Hotel
382,Ambovombe,MG,76.28,-25.17,46.08,clear sky,MONJA Talilisoa
384,Sao Filipe,CV,76.44,14.9,-24.5,broken clouds,Tortuga B&B
386,Xuanhua,CN,74.25,40.61,115.04,light rain,Jinjiang Inn Zhangjiakou Xuanhua People's Park
387,Banda Aceh,ID,81.75,5.56,95.32,overcast clouds,OYO 884 Rumoh PMI Hotel
388,Sarkand,KZ,79.7,45.41,79.92,light rain,Гостиница Сарканд
391,Kerema,PG,79.65,-7.96,145.78,light rain,Elore Lodge
392,Port Antonio,JM,82.4,18.18,-76.46,few clouds,Trident Hotel
394,Poltavka,RU,74.39,54.37,71.76,clear sky,
395,Teguise,ES,78.8,29.06,-13.56,few clouds,B&B La Casona de Nazaret
397,Port Blair,IN,84.0,11.67,92.75,overcast clouds,Hotel Sentinel
398,Conneaut,US,75.0,41.95,-80.55,clear sky,Mobile Grove Park
399,Campeche,MX,72.41,19.0,-90.5,overcast clouds,
400,Asau,RO,84.0,46.43,26.4,few clouds,Casa Mika Ciobanus
402,Karpathos,GR,82.4,35.51,27.21,few clouds,Alex
404,Galbshtadt,RU,73.02,53.23,78.98,scattered clouds,Dom Gaestehaus
405,Kamaishi,JP,75.2,39.27,141.88,light intensity shower rain,Hotel Route Inn Kamaishi
407,Tambovka,RU,80.6,50.1,128.05,scattered clouds,Lyzhnaya Gorka
408,Nizhniy Kuranakh,RU,73.72,58.84,125.49,few clouds,Park Pobedy
409,Isangel,VU,70.74,-19.55,169.27,scattered clouds,Volcano Sea View Tree House
410,Hauterive,FR,80.6,46.09,3.45,broken clouds,Aletti Palace Hotel
412,Shostka,UA,71.1,51.86,33.47,scattered clouds,Premiere Hotel
414,Tabou,CI,78.24,4.42,-7.35,overcast clouds,hotêl doufoulougou
415,Westport,US,73.99,41.14,-73.36,overcast clouds,The Westport Inn
416,Changping,CN,82.0,40.22,116.22,few clouds,Huachang Hotel
418,Sesheke,ZM,80.6,-17.48,24.3,clear sky,Protea Hotel by Marriott Zambezi River Lodge
419,Angoche,MZ,79.9,-16.23,39.91,clear sky,Guest House HESADA
420,Ankang,CN,75.78,32.68,109.02,moderate rain,安琪酒店
